album_id,description,id,originalsecret,secret,server,title
72157659383580161,"Please visit and Like the new <a href=""https://www.facebook.com/apolloarchive"" rel=""nofollow"">Project Apollo Archive</a> page on Facebook, which will be showcasing new renderings of some of the best imagery, and which will also feature many other rare images such as Apollo 11 training photos. Thank you!

<a href=""https://www.facebook.com/apolloarchive"" rel=""nofollow"">www.facebook.com/apolloarchive</a>
",21878909302,a369c0c4de,f0d8a37656,622,(also) Follow Project Apollo Archive on Facebook
72157659383580161,"The <a href=""http://www.apolloarchive.com"" rel=""nofollow"">Project Apollo Archive</a> was created in 1999 as a companion to my <a href=""http://www.apolloarchive.com/apollo_retrospective.html"" rel=""nofollow"">&quot;Contact Light&quot;</a> web site...a personal retrospective of the era of the space race.   A subsequent collaboration between the Archive and Eric Jones' <a href=""https://www.hq.nasa.gov/alsj/"" rel=""nofollow"">Apollo Lunar Surface Journal</a> led to aquisition over the years of countless historic Apollo and other space history images generously provided by NASA and others for processing and hosting on the NASA-hosted Journal as well as on my site. Contrary to some recent media reports, this new Flickr gallery is not a NASA undertaking, but an independent one, involving the re-presentation of the public domain NASA-provided Apollo mission imagery as it was originally provided in its raw, high-resolution and unprocessed form by the Johnson Space Center on DVD-R and including from the center's Gateway to Astronaut Photography of Earth web site.  Processed images from few film magazines to fill in gaps were also obtained from the Lunar and Planetary Institute's <a href=""http://www.lpi.usra.edu/resources/apollo/"" rel=""nofollow"">Apollo Image Atlas</a>.

All mission photographs in this new gallery are courtesy of the National Aeronautics and Space Administration, specifically the Johnson Space Center, with special thanks to Mike Gentry as well as to Steve Garber of the NASA History Office for their invaluable assistance.  I am also greatly indebted to Eric Jones who has dedicated countless hours to building and curating the exhaustive Apollo Lunar Surface Journal web site.  This new Flickr gallery would have not been possible without the support of Mike, Steve and Eric, and many others over the years.

Thank you for your interest and for helping to keep alive the spirit of space exploration and its history.

Kipp Teague
October, 2015

Please also visit and Like the new <a href=""https://www.facebook.com/apolloarchive"" rel=""nofollow"">Project Apollo Archive</a> page on Facebook, which will be showcasing new renderings of some of the best imagery, and which will also feature many other rare images such as Apollo 11 training photos. Thank you!

<a href=""https://www.facebook.com/apolloarchive"" rel=""nofollow"">www.facebook.com/apolloarchive</a>
",21751523890,3b65b9f030,871b67f41c,5727,About the Project Apollo Archive Flickr Gallery
72157659383580161,"Click <a href=""https://www.flickr.com/photos/projectapolloarchive/albums"">HERE</a> to browse this gallery in &quot;Albums&quot; view:

<a href=""https://www.flickr.com/photos/projectapolloarchive/albums"">www.flickr.com/photos/projectapolloarchive/albums</a>",22012610182,26af763d9e,3af6f6dde9,5729,"The Project Apollo Archive is best experienced in the ""Albums"" view"
72157658999650280,Apollo 7 Hasselblad image from film magazine 3/M - Earth Orbit,21288862644,19970ddae6,d3d4374b1f,649,AS07-3-1511
72157658999650280,Apollo 7 Hasselblad image from film magazine 3/M - Earth Orbit,21921298401,a8a300d839,2700144f94,699,AS07-3-1512
72157658999650280,Apollo 7 Hasselblad image from film magazine 3/M - Earth Orbit,21899608312,70cc8cfed7,8f8d23a6d0,5793,AS07-3-1513
72157658999650280,Apollo 7 Hasselblad image from film magazine 3/M - Earth Orbit,21723757018,9f6919339f,06a7c3f201,5820,AS07-3-1514
72157658999650280,Apollo 7 Hasselblad image from film magazine 3/M - Earth Orbit,21921297101,8f756438ba,15f4ced0cd,771,AS07-3-1515
72157658999650280,Apollo 7 Hasselblad image from film magazine 3/M - Earth Orbit,21921296411,f7b98af94d,48554f988a,653,AS07-3-1516
72157658999650280,Apollo 7 Hasselblad image from film magazine 3/M - Earth Orbit,21723532420,a590fa202c,f59020ea4c,598,AS07-3-1517
